mean_fitness,best_fitness,diversity
0.65459511267385,0.6559385872624257,0.00101010101010101
0.6592313603553946,0.6930500416145402,0.023232323232323233
0.6931421197471586,0.6999766429461051,0.00404040404040404
0.7003321290578486,0.704009411632066,0.0030303030303030307
0.7044906834816512,0.7130551841011212,0.005050505050505051
0.7131095671796327,0.714474053395328,0.00202020202020202
0.7148464417269114,0.7187478904926774,0.00202020202020202
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
0.7187478904926774,0.7187478904926774,0.0
